YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,12,00,1.47,1.27,1.26,,
2011,03,10,12,01,1.28,,,,
2011,03,10,12,02,1.24,,,,
2011,03,10,12,03,1.24,,,,
2011,03,10,12,04,1.25,,,,
2011,03,10,12,05,1.26,,,,
2011,03,10,12,06,1.22,1.23,1.24,,
2011,03,10,12,07,1.21,,,,
2011,03,10,12,08,1.23,,,,
2011,03,10,12,09,1.24,,,,
2011,03,10,12,10,1.23,,,,
2011,03,10,12,11,1.22,,,,
2011,03,10,12,12,1.20,1.21,1.21,,
2011,03,10,12,13,1.20,,,,
2011,03,10,12,14,1.21,,,,
2011,03,10,12,15,1.20,,,,
2011,03,10,12,16,1.19,,,,
2011,03,10,12,17,1.20,,,,
2011,03,10,12,18,1.19,1.20,1.21,,
2011,03,10,12,19,1.21,,,,
2011,03,10,12,20,1.18,,,,
2011,03,10,12,21,1.20,,,,
2011,03,10,12,22,1.18,,,,
2011,03,10,12,23,1.18,,,,
2011,03,10,12,24,1.17,1.17,1.17,,
2011,03,10,12,25,1.16,,,,
2011,03,10,12,26,1.16,,,,
2011,03,10,12,27,1.18,,,,
2011,03,10,12,28,1.17,,,,
2011,03,10,12,29,1.14,,,,
2011,03,10,12,30,1.15,1.15,1.15,,
2011,03,10,12,31,1.16,,,,
2011,03,10,12,32,1.15,,,,
2011,03,10,12,33,1.16,,,,
2011,03,10,12,34,1.15,,,,
2011,03,10,12,35,1.14,,,,
2011,03,10,12,36,1.14,1.14,1.15,,
2011,03,10,12,37,1.15,,,,
2011,03,10,12,38,1.14,,,,
2011,03,10,12,39,1.11,,,,
2011,03,10,12,40,1.13,,,,
2011,03,10,12,41,1.11,,,,
2011,03,10,12,42,1.11,1.10,1.11,,
2011,03,10,12,43,1.11,,,,
2011,03,10,12,44,1.10,,,,
2011,03,10,12,45,1.09,,,,
2011,03,10,12,46,1.10,,,,
2011,03,10,12,47,1.08,,,,
2011,03,10,12,48,1.09,1.08,1.07,,
2011,03,10,12,49,1.07,,,,
2011,03,10,12,50,1.06,,,,
2011,03,10,12,51,1.05,,,,
2011,03,10,12,52,1.03,,,,
2011,03,10,12,53,1.03,,,,
2011,03,10,12,54,1.02,1.02,1.03,,
2011,03,10,12,55,1.20,,,,
2011,03,10,12,56,1.23,,,,
2011,03,10,12,57,1.21,,,,
2011,03,10,12,58,1.21,,,,
2011,03,10,12,59,1.21,,,,
2011,03,10,13,00,1.24,0.99,0.99,,
2011,03,10,13,01,0.98,,,,
2011,03,10,13,02,0.98,,,,
2011,03,10,13,03,0.98,,,,
2011,03,10,13,04,0.97,,,,
2011,03,10,13,05,0.97,,,,
2011,03,10,13,06,0.97,0.97,0.98,,
2011,03,10,13,07,0.97,,,,
