YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,07,13,33,0.35,,,,
2011,03,07,13,34,0.33,,,,
2011,03,07,13,35,0.34,,,,
2011,03,07,13,36,0.35,0.34,,,
2011,03,07,13,37,0.35,,,,
2011,03,07,13,38,0.35,,,,
2011,03,07,13,39,0.34,,,,
2011,03,07,13,40,0.33,,,,
2011,03,07,13,41,0.31,,,,
2011,03,07,13,42,0.30,0.31,,,
2011,03,07,13,43,0.30,,,,
2011,03,07,13,44,0.33,,,,
2011,03,07,13,45,0.32,,,,
2011,03,07,13,46,0.29,,,,
2011,03,07,13,47,0.31,,,,
2011,03,07,13,48,0.31,0.31,,,
2011,03,07,13,49,0.31,,,,
2011,03,07,13,50,0.29,,,,
2011,03,07,13,51,0.31,,,,
2011,03,07,13,52,0.33,,,,
2011,03,07,13,53,0.32,,,,
2011,03,07,13,54,0.30,0.31,,,
2011,03,07,13,55,0.31,,,,
2011,03,07,13,56,0.31,,,,
2011,03,07,13,57,0.31,,,,
2011,03,07,13,58,0.29,,,,
2011,03,07,13,59,0.28,,,,
2011,03,07,14,00,0.30,0.29,,,
2011,03,07,14,01,0.30,,,,
2011,03,07,14,02,0.30,,,,
2011,03,07,14,03,0.29,,,,
2011,03,07,14,04,0.28,,,,
2011,03,07,14,05,0.27,,,,
2011,03,07,14,06,0.27,0.27,,,
2011,03,07,14,07,0.29,,,,
2011,03,07,14,08,0.31,,,,
2011,03,07,14,09,0.29,,,,
2011,03,07,14,10,0.28,,,,
2011,03,07,14,11,0.28,,,,
2011,03,07,14,12,0.31,0.29,,,
2011,03,07,14,13,0.30,,,,
2011,03,07,14,14,0.29,,,,
2011,03,07,14,15,0.30,,,,
2011,03,07,14,16,0.29,,,,
2011,03,07,14,17,0.30,,,,
2011,03,07,14,18,0.31,0.30,,,
2011,03,07,14,19,0.30,,,,
2011,03,07,14,20,0.32,,,,
2011,03,07,14,21,0.29,,,,
2011,03,07,14,22,0.26,,,,
2011,03,07,14,23,0.27,,,,
2011,03,07,14,24,0.28,0.27,,,
2011,03,07,14,25,0.29,,,,
2011,03,07,14,26,0.30,,,,
2011,03,07,14,27,0.28,,,,
2011,03,07,14,28,0.28,,,,
2011,03,07,14,29,0.30,,,,
2011,03,07,14,30,0.26,0.28,,,
2011,03,07,14,31,0.26,,,,
2011,03,07,14,32,0.29,,,,
2011,03,07,14,33,0.27,,,,
2011,03,07,14,34,0.30,,,,
2011,03,07,14,35,0.31,,,,
2011,03,07,14,36,0.29,0.30,,,
2011,03,07,14,37,0.27,,,,
2011,03,07,14,38,0.26,,,,
2011,03,07,14,39,0.27,,,,
2011,03,07,14,40,0.27,,,,
2011,03,07,14,41,0.29,,,,
2011,03,07,14,42,0.30,0.29,,,
2011,03,07,14,43,0.29,,,,
2011,03,07,14,44,0.27,,,,
2011,03,07,14,45,0.29,,,,
2011,03,07,14,46,0.31,,,,
2011,03,07,14,47,0.34,,,,
2011,03,07,14,48,0.31,0.32,,,
2011,03,07,14,49,0.30,,,,
2011,03,07,14,50,0.30,,,,
2011,03,07,14,51,0.30,,,,
2011,03,07,14,52,0.31,,,,
2011,03,07,14,53,0.31,,,,
2011,03,07,14,54,0.29,0.30,,,
2011,03,07,14,55,0.29,,,,
2011,03,07,14,56,0.29,,,,
2011,03,07,14,57,0.30,,,,
2011,03,07,14,58,0.32,,,,
2011,03,07,14,59,0.30,,,,
2011,03,07,15,00,0.32,0.31,,,
2011,03,07,15,01,0.33,,,,
2011,03,07,15,02,0.32,,,,
2011,03,07,15,03,0.31,,,,
2011,03,07,15,04,0.30,,,,
2011,03,07,15,05,0.29,,,,
2011,03,07,15,06,0.29,0.29,,,
2011,03,07,15,07,0.32,,,,
2011,03,07,15,08,0.31,,,,
2011,03,07,15,09,0.32,,,,
2011,03,07,15,10,0.34,,,,
2011,03,07,15,11,0.34,,,,
2011,03,07,15,12,0.31,0.33,,,
2011,03,07,15,13,0.31,,,,
2011,03,07,15,14,0.32,,,,
2011,03,07,15,15,0.32,,,,
2011,03,07,15,16,0.33,,,,
2011,03,07,15,17,0.34,,,,
2011,03,07,15,18,0.36,0.35,,,
2011,03,07,15,19,0.34,,,,
2011,03,07,15,20,0.35,,,,
2011,03,07,15,21,0.34,,,,
2011,03,07,15,22,0.33,,,,
2011,03,07,15,23,0.34,,,,
2011,03,07,15,24,0.34,0.34,,,
2011,03,07,15,25,0.35,,,,
2011,03,07,15,26,0.36,,,,
2011,03,07,15,27,0.37,,,,
2011,03,07,15,28,0.36,,,,
2011,03,07,15,29,0.36,,,,
2011,03,07,15,30,0.37,0.36,,,
2011,03,07,15,31,0.35,,,,
2011,03,07,15,32,0.36,,,,
2011,03,07,15,33,0.37,,,,
2011,03,07,15,34,0.37,,,,
2011,03,07,15,35,0.40,,,,
2011,03,07,15,36,0.40,0.39,,,
2011,03,07,15,37,0.39,,,,
2011,03,07,15,38,0.39,,,,
2011,03,07,15,39,0.37,,,,
2011,03,07,15,40,0.38,,,,
2011,03,07,15,41,0.39,,,,
2011,03,07,15,42,0.40,0.39,,,
2011,03,07,15,43,0.41,,,,
2011,03,07,15,44,0.41,,,,
2011,03,07,15,45,0.41,,,,
2011,03,07,15,46,0.42,,,,
2011,03,07,15,47,0.43,,,,
2011,03,07,15,48,0.42,0.42,,,
2011,03,07,15,49,0.42,,,,
2011,03,07,15,50,0.42,,,,
2011,03,07,15,51,0.40,,,,
2011,03,07,15,52,0.42,,,,
2011,03,07,15,53,0.44,,,,
2011,03,07,15,54,0.43,0.44,,,
2011,03,07,15,55,0.45,,,,
2011,03,07,15,56,0.45,,,,
2011,03,07,15,57,0.45,,,,
2011,03,07,15,58,0.46,,,,
2011,03,07,15,59,0.47,,,,
2011,03,07,16,00,0.46,0.47,,,
2011,03,07,16,01,0.47,,,,
2011,03,07,16,02,0.46,,,,
2011,03,07,16,03,0.47,,,,
2011,03,07,16,04,0.47,,,,
2011,03,07,16,05,0.47,,,,
2011,03,07,16,06,0.47,0.47,,,
2011,03,07,16,07,0.48,,,,
2011,03,07,16,08,0.48,,,,
2011,03,07,16,09,0.49,,,,
2011,03,07,16,10,0.50,,,,
2011,03,07,16,11,0.50,,,,
2011,03,07,16,12,0.51,0.51,,,
2011,03,07,16,13,0.52,,,,
2011,03,07,16,14,0.51,,,,
2011,03,07,16,15,0.50,,,,
2011,03,07,16,16,0.50,,,,
2011,03,07,16,17,0.51,,,,
2011,03,07,16,18,0.52,0.52,,,
2011,03,07,16,19,0.53,,,,
2011,03,07,16,20,0.55,,,,
2011,03,07,16,21,0.55,,,,
2011,03,07,16,22,0.55,,,,
