YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,14,21,0.50,,,,
2011,03,10,14,22,0.52,,,,
2011,03,10,14,23,0.52,,,,
2011,03,10,14,24,0.58,0.54,,,
2011,03,10,14,25,0.53,,,,
2011,03,10,14,26,0.51,,,,
2011,03,10,14,27,0.50,,,,
2011,03,10,14,28,0.50,,,,
2011,03,10,14,29,0.47,,,,
2011,03,10,14,30,0.47,0.47,,,
2011,03,10,14,31,0.47,,,,
2011,03,10,14,32,0.42,,,,
2011,03,10,14,33,0.41,,,,
2011,03,10,14,34,0.41,,,,
2011,03,10,14,35,0.47,,,,
2011,03,10,14,36,0.49,0.47,,,
2011,03,10,14,37,0.48,,,,
2011,03,10,14,38,0.48,,,,
2011,03,10,14,39,0.47,,,,
2011,03,10,14,40,0.43,,,,
2011,03,10,14,41,0.45,,,,
2011,03,10,14,42,0.44,0.45,,,
2011,03,10,14,43,0.46,,,,
2011,03,10,14,44,0.44,,,,
2011,03,10,14,45,0.46,,,,
2011,03,10,14,46,0.45,,,,
2011,03,10,14,47,0.43,,,,
2011,03,10,14,48,0.42,0.43,,,
2011,03,10,14,49,0.42,,,,
2011,03,10,14,50,0.39,,,,
2011,03,10,14,51,0.43,,,,
2011,03,10,14,52,0.41,,,,
2011,03,10,14,53,0.35,,,,
2011,03,10,14,54,0.38,0.38,,,
2011,03,10,14,55,0.37,,,,
2011,03,10,14,56,0.35,,,,
2011,03,10,14,57,0.38,,,,
2011,03,10,14,58,0.39,,,,
2011,03,10,14,59,0.39,,,,
2011,03,10,15,00,0.39,0.39,,,
2011,03,10,15,01,0.37,,,,
2011,03,10,15,02,0.37,,,,
2011,03,10,15,03,0.35,,,,
2011,03,10,15,04,0.35,,,,
2011,03,10,15,05,0.39,,,,
2011,03,10,15,06,0.37,0.38,,,
2011,03,10,15,07,0.39,,,,
2011,03,10,15,08,0.38,,,,
2011,03,10,15,09,0.37,,,,
2011,03,10,15,10,0.34,,,,
2011,03,10,15,11,0.32,,,,
2011,03,10,15,12,0.32,0.32,,,
2011,03,10,15,13,0.34,,,,
2011,03,10,15,14,0.35,,,,
2011,03,10,15,15,0.35,,,,
2011,03,10,15,16,0.33,,,,
2011,03,10,15,17,0.32,,,,
2011,03,10,15,18,0.31,0.32,,,
2011,03,10,15,19,0.32,,,,
2011,03,10,15,20,0.30,,,,
2011,03,10,15,21,0.29,,,,
2011,03,10,15,22,0.33,,,,
2011,03,10,15,23,0.31,,,,
2011,03,10,15,24,0.34,0.33,,,
2011,03,10,15,25,0.34,,,,
2011,03,10,15,26,0.29,,,,
2011,03,10,15,27,0.28,,,,
2011,03,10,15,28,0.29,,,,
2011,03,10,15,29,0.30,,,,
2011,03,10,15,30,0.27,0.29,,,
2011,03,10,15,31,0.29,,,,
2011,03,10,15,32,0.25,,,,
2011,03,10,15,33,0.27,,,,
2011,03,10,15,34,0.28,,,,
2011,03,10,15,35,0.27,,,,
2011,03,10,15,36,0.26,0.27,,,
2011,03,10,15,37,0.27,,,,
2011,03,10,15,38,0.25,,,,
2011,03,10,15,39,0.27,,,,
2011,03,10,15,40,0.27,,,,
2011,03,10,15,41,0.24,,,,
2011,03,10,15,42,0.27,0.27,,,
2011,03,10,15,43,0.31,,,,
2011,03,10,15,44,0.28,,,,
2011,03,10,15,45,0.26,,,,
2011,03,10,15,46,0.24,,,,
2011,03,10,15,47,0.24,,,,
2011,03,10,15,48,0.27,0.25,,,
2011,03,10,15,49,0.27,,,,
2011,03,10,15,50,0.23,,,,
2011,03,10,15,51,0.24,,,,
2011,03,10,15,52,0.22,,,,
2011,03,10,15,53,0.22,,,,
2011,03,10,15,54,0.24,0.24,,,
2011,03,10,15,55,0.27,,,,
2011,03,10,15,56,0.25,,,,
2011,03,10,15,57,0.26,,,,
2011,03,10,15,58,0.20,,,,
2011,03,10,15,59,0.22,,,,
2011,03,10,16,00,0.21,0.21,,,
2011,03,10,16,01,0.25,,,,
2011,03,10,16,02,0.24,,,,
2011,03,10,16,03,0.23,,,,
2011,03,10,16,04,0.23,,,,
2011,03,10,16,05,0.19,,,,
2011,03,10,16,06,0.19,0.20,,,
2011,03,10,16,07,0.20,,,,
2011,03,10,16,08,0.22,,,,
2011,03,10,16,09,0.24,,,,
2011,03,10,16,10,0.22,,,,
2011,03,10,16,11,0.22,,,,
2011,03,10,16,12,0.23,0.22,,,
2011,03,10,16,13,0.21,,,,
2011,03,10,16,14,0.19,,,,
2011,03,10,16,15,0.17,,,,
2011,03,10,16,16,0.19,,,,
2011,03,10,16,17,0.23,,,,
2011,03,10,16,18,0.25,0.23,,,
2011,03,10,16,19,0.23,,,,
2011,03,10,16,20,0.23,,,,
2011,03,10,16,21,0.22,,,,
2011,03,10,16,22,0.26,,,,
2011,03,10,16,23,0.24,,,,
2011,03,10,16,24,0.20,0.22,,,
2011,03,10,16,25,0.20,,,,
2011,03,10,16,26,0.20,,,,
2011,03,10,16,27,0.21,,,,
2011,03,10,16,28,0.21,,,,
2011,03,10,16,29,0.21,,,,
2011,03,10,16,30,0.21,0.20,,,
2011,03,10,16,31,0.19,,,,
2011,03,10,16,32,0.20,,,,
2011,03,10,16,33,0.18,,,,
2011,03,10,16,34,0.22,,,,
2011,03,10,16,35,0.22,,,,
2011,03,10,16,36,0.20,0.21,,,
2011,03,10,16,37,0.16,,,,
2011,03,10,16,38,0.14,,,,
2011,03,10,16,39,0.19,,,,
2011,03,10,16,40,0.22,,,,
2011,03,10,16,41,0.24,,,,
2011,03,10,16,42,0.24,0.24,,,
2011,03,10,16,43,0.21,,,,
2011,03,10,16,44,0.20,,,,
2011,03,10,16,45,0.19,,,,
2011,03,10,16,46,0.21,,,,
2011,03,10,16,47,0.21,,,,
2011,03,10,16,48,0.21,0.20,,,
2011,03,10,16,49,0.20,,,,
2011,03,10,16,50,0.22,,,,
2011,03,10,16,51,0.24,,,,
2011,03,10,16,52,0.23,,,,
2011,03,10,16,53,0.21,,,,
2011,03,10,16,54,0.20,0.20,,,
2011,03,10,16,55,0.19,,,,
2011,03,10,16,56,0.20,,,,
2011,03,10,16,57,0.23,,,,
2011,03,10,16,58,0.22,,,,
2011,03,10,16,59,0.21,,,,
2011,03,10,17,00,0.25,0.23,,,
2011,03,10,17,01,0.23,,,,
2011,03,10,17,02,0.23,,,,
2011,03,10,17,03,0.21,,,,
2011,03,10,17,04,0.16,,,,
2011,03,10,17,05,0.18,,,,
2011,03,10,17,06,0.17,0.17,,,
2011,03,10,17,07,0.19,,,,
2011,03,10,17,08,0.20,,,,
2011,03,10,17,09,0.24,,,,
2011,03,10,17,10,0.25,,,,
2011,03,10,17,11,0.27,,,,
2011,03,10,17,12,0.24,0.24,,,
2011,03,10,17,13,0.20,,,,
2011,03,10,17,14,0.23,,,,
2011,03,10,17,15,0.24,,,,
2011,03,10,17,16,0.23,,,,
2011,03,10,17,17,0.22,,,,
2011,03,10,17,18,0.23,0.22,,,
2011,03,10,17,19,0.23,,,,
2011,03,10,17,20,0.25,,,,
2011,03,10,17,21,0.22,,,,
2011,03,10,17,22,0.24,,,,
2011,03,10,17,23,0.23,,,,
2011,03,10,17,24,0.22,0.24,,,
2011,03,10,17,25,0.24,,,,
2011,03,10,17,26,0.28,,,,
2011,03,10,17,27,0.24,,,,
2011,03,10,17,28,0.23,,,,
2011,03,10,17,29,0.22,,,,
2011,03,10,17,30,0.19,0.21,,,
2011,03,10,17,31,0.21,,,,
2011,03,10,17,32,0.23,,,,
2011,03,10,17,33,0.29,,,,
2011,03,10,17,34,0.27,,,,
2011,03,10,17,35,0.25,,,,
2011,03,10,17,36,0.24,0.25,,,
2011,03,10,17,37,0.25,,,,
2011,03,10,17,38,0.24,,,,
2011,03,10,17,39,0.21,,,,
2011,03,10,17,40,0.23,,,,
2011,03,10,17,41,0.29,,,,
2011,03,10,17,42,0.28,0.27,,,
2011,03,10,17,43,0.29,,,,
2011,03,10,17,44,0.27,,,,
2011,03,10,17,45,0.27,,,,
2011,03,10,17,46,0.25,,,,
2011,03,10,17,47,0.27,,,,
2011,03,10,17,48,0.26,0.27,,,
2011,03,10,17,49,0.26,,,,
2011,03,10,17,50,0.27,,,,
2011,03,10,17,51,0.28,,,,
2011,03,10,17,52,0.31,,,,
2011,03,10,17,53,0.32,,,,
2011,03,10,17,54,0.28,0.29,,,
2011,03,10,17,55,0.26,,,,
2011,03,10,17,56,0.28,,,,
2011,03,10,17,57,0.28,,,,
2011,03,10,17,58,0.29,,,,
2011,03,10,17,59,0.31,,,,
2011,03,10,18,00,0.31,0.31,,,
2011,03,10,18,01,0.30,,,,
2011,03,10,18,02,0.31,,,,
2011,03,10,18,03,0.31,,,,
2011,03,10,18,04,0.32,,,,
2011,03,10,18,05,0.28,,,,
2011,03,10,18,06,0.28,0.29,,,
2011,03,10,18,07,0.29,,,,
2011,03,10,18,08,0.30,,,,
2011,03,10,18,09,0.33,,,,
2011,03,10,18,10,0.33,,,,
2011,03,10,18,11,0.32,,,,
2011,03,10,18,12,0.34,0.33,,,
2011,03,10,18,13,0.33,,,,
2011,03,10,18,14,0.31,,,,
2011,03,10,18,15,0.34,,,,
2011,03,10,18,16,0.34,,,,
2011,03,10,18,17,0.32,,,,
2011,03,10,18,18,0.35,0.34,,,
