YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,10,14,17,0.38,,,,
2011,03,10,14,18,0.36,0.38,0.38,,
2011,03,10,14,19,0.39,,,,
2011,03,10,14,20,0.36,,,,
2011,03,10,14,21,0.36,,,,
2011,03,10,14,22,0.35,,,,
2011,03,10,14,23,0.38,,,,
2011,03,10,14,24,0.34,0.35,0.35,,
2011,03,10,14,25,0.32,,,,
2011,03,10,14,26,0.34,,,,
2011,03,10,14,27,0.36,,,,
2011,03,10,14,28,0.34,,,,
2011,03,10,14,29,0.33,,,,
2011,03,10,14,30,0.34,0.33,0.34,,
2011,03,10,14,31,0.32,,,,
2011,03,10,14,32,0.35,,,,
2011,03,10,14,33,0.30,,,,
2011,03,10,14,34,0.34,,,,
2011,03,10,14,35,0.31,,,,
2011,03,10,14,36,0.32,0.30,0.31,,
2011,03,10,14,37,0.30,,,,
2011,03,10,14,38,0.30,,,,
2011,03,10,14,39,0.27,,,,
2011,03,10,14,40,0.34,,,,
2011,03,10,14,41,0.28,,,,
2011,03,10,14,42,0.31,0.29,0.30,,
2011,03,10,14,43,0.24,,,,
2011,03,10,14,44,0.31,,,,
2011,03,10,14,45,0.30,,,,
2011,03,10,14,46,0.32,,,,
2011,03,10,14,47,0.30,,,,
2011,03,10,14,48,0.30,0.29,0.30,,
2011,03,10,14,49,0.30,,,,
2011,03,10,14,50,0.32,,,,
2011,03,10,14,51,0.29,,,,
2011,03,10,14,52,0.28,,,,
2011,03,10,14,53,0.28,,,,
2011,03,10,14,54,0.31,0.28,0.29,,
2011,03,10,14,55,0.27,,,,
2011,03,10,14,56,0.26,,,,
2011,03,10,14,57,0.24,,,,
2011,03,10,14,58,0.28,,,,
2011,03,10,14,59,0.26,,,,
2011,03,10,15,00,0.26,0.26,0.26,,
2011,03,10,15,01,0.26,,,,
2011,03,10,15,02,0.25,,,,
2011,03,10,15,03,0.25,,,,
2011,03,10,15,04,0.19,,,,
2011,03,10,15,05,0.27,,,,
2011,03,10,15,06,0.21,0.24,0.25,,
2011,03,10,15,07,0.27,,,,
2011,03,10,15,08,0.22,,,,
2011,03,10,15,09,0.27,,,,
2011,03,10,15,10,0.24,,,,
2011,03,10,15,11,0.28,,,,
2011,03,10,15,12,0.22,0.26,0.27,,
2011,03,10,15,13,0.27,,,,
2011,03,10,15,14,0.21,,,,
2011,03,10,15,15,0.23,,,,
2011,03,10,15,16,0.22,,,,
2011,03,10,15,17,0.24,,,,
2011,03,10,15,18,0.22,0.23,0.23,,
2011,03,10,15,19,0.23,,,,
2011,03,10,15,20,0.20,,,,
2011,03,10,15,21,0.24,,,,
2011,03,10,15,22,0.22,,,,
2011,03,10,15,23,0.19,,,,
2011,03,10,15,24,0.19,0.20,0.20,,
2011,03,10,15,25,0.22,,,,
2011,03,10,15,26,0.23,,,,
2011,03,10,15,27,0.20,,,,
2011,03,10,15,28,0.19,,,,
2011,03,10,15,29,0.21,,,,
2011,03,10,15,30,0.24,0.21,0.22,,
2011,03,10,15,31,0.16,,,,
2011,03,10,15,32,0.17,,,,
2011,03,10,15,33,0.17,,,,
2011,03,10,15,34,0.21,,,,
2011,03,10,15,35,0.20,,,,
2011,03,10,15,36,0.23,0.21,0.22,,
2011,03,10,15,37,0.21,,,,
2011,03,10,15,38,0.18,,,,
2011,03,10,15,39,0.18,,,,
2011,03,10,15,40,0.17,,,,
2011,03,10,15,41,0.20,,,,
2011,03,10,15,42,0.18,0.19,0.20,,
2011,03,10,15,43,0.18,,,,
2011,03,10,15,44,0.20,,,,
2011,03,10,15,45,0.22,,,,
2011,03,10,15,46,0.15,,,,
2011,03,10,15,47,0.20,,,,
2011,03,10,15,48,0.17,0.19,0.19,,
2011,03,10,15,49,0.21,,,,
