YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,13,12,01,1.60,,,,
2011,03,13,12,02,1.55,,,,
2011,03,13,12,03,1.59,,,,
2011,03,13,12,04,1.63,,,,
2011,03,13,12,05,1.63,,,,
2011,03,13,12,06,1.64,1.64,,,
2011,03,13,12,07,1.65,,,,
2011,03,13,12,08,1.62,,,,
2011,03,13,12,09,1.63,,,,
2011,03,13,12,10,1.64,,,,
2011,03,13,12,11,1.69,,,,
2011,03,13,12,12,1.74,1.70,,,
2011,03,13,12,13,1.70,,,,
2011,03,13,12,14,1.65,,,,
2011,03,13,12,15,1.59,,,,
2011,03,13,12,16,1.55,,,,
2011,03,13,12,17,1.56,,,,
2011,03,13,12,18,1.56,1.55,,,
2011,03,13,12,19,1.55,,,,
2011,03,13,12,20,1.58,,,,
2011,03,13,12,21,1.57,,,,
2011,03,13,12,22,1.58,,,,
2011,03,13,12,23,1.48,,,,
2011,03,13,12,24,1.40,1.46,,,
2011,03,13,12,25,1.46,,,,
2011,03,13,12,26,1.43,,,,
2011,03,13,12,27,1.51,,,,
2011,03,13,12,28,1.62,,,,
2011,03,13,12,29,1.66,,,,
2011,03,13,12,30,1.66,1.65,,,
2011,03,13,12,31,1.62,,,,
2011,03,13,12,32,1.57,,,,
2011,03,13,12,33,1.54,,,,
2011,03,13,12,34,1.54,,,,
2011,03,13,12,35,1.45,,,,
2011,03,13,12,36,1.48,1.48,,,
2011,03,13,12,37,1.49,,,,
2011,03,13,12,38,1.54,,,,
2011,03,13,12,39,1.52,,,,
2011,03,13,12,40,1.52,,,,
2011,03,13,12,41,1.60,,,,
2011,03,13,12,42,1.60,1.59,,,
2011,03,13,12,43,1.59,,,,
2011,03,13,12,44,1.52,,,,
2011,03,13,12,45,1.56,,,,
2011,03,13,12,46,1.60,,,,
2011,03,13,12,47,1.57,,,,
2011,03,13,12,48,1.52,1.54,,,
2011,03,13,12,49,1.50,,,,
2011,03,13,12,50,1.53,,,,
2011,03,13,12,51,1.52,,,,
2011,03,13,12,52,1.51,,,,
2011,03,13,12,53,1.55,,,,
2011,03,13,12,54,1.56,1.56,,,
2011,03,13,12,55,1.68,,,,
2011,03,13,12,56,1.82,,,,
2011,03,13,12,57,1.75,,,,
2011,03,13,12,58,1.70,,,,
2011,03,13,12,59,1.69,,,,
2011,03,13,13,00,1.64,1.67,,,
2011,03,13,13,01,1.64,,,,
2011,03,13,13,02,1.62,,,,
2011,03,13,13,03,1.54,,,,
2011,03,13,13,04,1.47,,,,
2011,03,13,13,05,1.50,,,,
2011,03,13,13,06,1.56,1.52,,,
2011,03,13,13,07,1.56,,,,
2011,03,13,13,08,1.50,,,,
2011,03,13,13,09,1.45,,,,
2011,03,13,13,10,1.37,,,,
2011,03,13,13,11,1.29,,,,
2011,03,13,13,12,1.30,1.32,,,
2011,03,13,13,13,1.36,,,,
2011,03,13,13,14,1.39,,,,
2011,03,13,13,15,1.47,,,,
2011,03,13,13,16,1.44,,,,
2011,03,13,13,17,1.44,,,,
2011,03,13,13,18,1.56,1.49,,,
2011,03,13,13,19,1.47,,,,
2011,03,13,13,20,1.44,,,,
2011,03,13,13,21,1.59,,,,
2011,03,13,13,22,1.63,,,,
2011,03,13,13,23,1.58,,,,
2011,03,13,13,24,1.62,1.62,,,
2011,03,13,13,25,1.69,,,,
2011,03,13,13,26,1.64,,,,
2011,03,13,13,27,1.65,,,,
2011,03,13,13,28,1.56,,,,
2011,03,13,13,29,1.50,,,,
2011,03,13,13,30,1.60,1.56,,,
2011,03,13,13,31,1.59,,,,
2011,03,13,13,32,1.54,,,,
2011,03,13,13,33,1.46,,,,
2011,03,13,13,34,1.38,,,,
2011,03,13,13,35,1.44,,,,
2011,03,13,13,36,1.52,1.47,,,
2011,03,13,13,37,1.52,,,,
2011,03,13,13,38,1.46,,,,
2011,03,13,13,39,1.46,,,,
2011,03,13,13,40,1.39,,,,
2011,03,13,13,41,1.47,,,,
2011,03,13,13,42,1.58,1.51,,,
2011,03,13,13,43,1.57,,,,
2011,03,13,13,44,1.48,,,,
2011,03,13,13,45,1.43,,,,
2011,03,13,13,46,1.37,,,,
2011,03,13,13,47,1.42,,,,
2011,03,13,13,48,1.41,1.39,,,
2011,03,13,13,49,1.31,,,,
2011,03,13,13,50,1.29,,,,
2011,03,13,13,51,1.39,,,,
2011,03,13,13,52,1.41,,,,
2011,03,13,13,53,1.41,,,,
2011,03,13,13,54,1.40,1.41,,,
2011,03,13,13,55,1.44,,,,
2011,03,13,13,56,1.55,,,,
2011,03,13,13,57,1.64,,,,
2011,03,13,13,58,1.65,,,,
2011,03,13,13,59,1.58,,,,
2011,03,13,14,00,1.53,1.55,,,
2011,03,13,14,01,1.46,,,,
2011,03,13,14,02,1.47,,,,
2011,03,13,14,03,1.41,,,,
2011,03,13,14,04,1.28,,,,
2011,03,13,14,05,1.15,,,,
2011,03,13,14,06,1.24,1.23,,,
