YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,13,12,01,1.29,,,,
2011,03,13,12,02,1.37,,,,
2011,03,13,12,03,1.28,,,,
2011,03,13,12,04,1.36,,,,
2011,03,13,12,05,1.19,,,,
2011,03,13,12,06,1.33,1.26,1.27,,
2011,03,13,12,07,1.24,,,,
2011,03,13,12,08,1.18,,,,
2011,03,13,12,09,1.28,,,,
2011,03,13,12,10,1.22,,,,
2011,03,13,12,11,1.25,,,,
2011,03,13,12,12,1.19,1.23,1.24,,
2011,03,13,12,13,1.24,,,,
2011,03,13,12,14,1.16,,,,
2011,03,13,12,15,1.21,,,,
2011,03,13,12,16,1.23,,,,
2011,03,13,12,17,1.28,,,,
2011,03,13,12,18,1.30,1.29,1.29,,
2011,03,13,12,19,1.31,,,,
2011,03,13,12,20,1.37,,,,
2011,03,13,12,21,1.42,,,,
2011,03,13,12,22,1.42,,,,
2011,03,13,12,23,1.46,,,,
2011,03,13,12,24,1.49,1.47,1.47,,
2011,03,13,12,25,1.49,,,,
2011,03,13,12,26,1.50,,,,
2011,03,13,12,27,1.43,,,,
2011,03,13,12,28,1.48,,,,
2011,03,13,12,29,1.47,,,,
2011,03,13,12,30,1.46,1.46,1.46,,
2011,03,13,12,31,1.40,,,,
2011,03,13,12,32,1.30,,,,
2011,03,13,12,33,1.37,,,,
2011,03,13,12,34,1.29,,,,
2011,03,13,12,35,1.25,,,,
2011,03,13,12,36,1.28,1.26,1.27,,
2011,03,13,12,37,1.26,,,,
2011,03,13,12,38,1.20,,,,
2011,03,13,12,39,1.24,,,,
2011,03,13,12,40,1.19,,,,
2011,03,13,12,41,1.22,,,,
2011,03,13,12,42,1.19,1.21,1.21,,
2011,03,13,12,43,1.31,,,,
2011,03,13,12,44,1.23,,,,
2011,03,13,12,45,1.29,,,,
2011,03,13,12,46,1.27,,,,
2011,03,13,12,47,1.36,,,,
2011,03,13,12,48,1.26,1.30,1.31,,
