YR,M,D,hh,mm,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
2011,03,07,14,17,0.24,,,,
2011,03,07,14,18,0.24,0.24,0.25,,
2011,03,07,14,19,0.25,,,,
2011,03,07,14,20,0.24,,,,
2011,03,07,14,21,0.24,,,,
2011,03,07,14,22,0.23,,,,
2011,03,07,14,23,0.24,,,,
2011,03,07,14,24,0.24,0.24,0.25,,
2011,03,07,14,25,0.24,,,,
2011,03,07,14,26,0.23,,,,
2011,03,07,14,27,0.25,,,,
2011,03,07,14,28,0.24,,,,
2011,03,07,14,29,0.23,,,,
2011,03,07,14,30,0.24,0.23,0.24,,
2011,03,07,14,31,0.23,,,,
2011,03,07,14,32,0.23,,,,
2011,03,07,14,33,0.24,,,,
2011,03,07,14,34,0.22,,,,
2011,03,07,14,35,0.24,,,,
2011,03,07,14,36,0.23,0.24,0.25,,
2011,03,07,14,37,0.24,,,,
2011,03,07,14,38,0.23,,,,
2011,03,07,14,39,0.25,,,,
2011,03,07,14,40,0.24,,,,
2011,03,07,14,41,0.25,,,,
2011,03,07,14,42,0.25,0.26,0.26,,
2011,03,07,14,43,0.25,,,,
2011,03,07,14,44,0.26,,,,
2011,03,07,14,45,0.26,,,,
2011,03,07,14,46,0.26,,,,
2011,03,07,14,47,0.26,,,,
2011,03,07,14,48,0.28,0.27,0.28,,
2011,03,07,14,49,0.26,,,,
2011,03,07,14,50,0.25,,,,
2011,03,07,14,51,0.28,,,,
2011,03,07,14,52,0.27,,,,
2011,03,07,14,53,0.27,,,,
2011,03,07,14,54,0.28,0.27,0.28,,
2011,03,07,14,55,0.22,,,,
2011,03,07,14,56,0.20,,,,
2011,03,07,14,57,0.22,,,,
2011,03,07,14,58,0.21,,,,
2011,03,07,14,59,0.20,,,,
2011,03,07,15,00,0.21,0.29,0.29,,
2011,03,07,15,01,0.28,,,,
2011,03,07,15,02,0.31,,,,
2011,03,07,15,03,0.29,,,,
2011,03,07,15,04,0.28,,,,
2011,03,07,15,05,0.30,,,,
2011,03,07,15,06,0.29,0.30,0.31,,
2011,03,07,15,07,0.30,,,,
2011,03,07,15,08,0.30,,,,
2011,03,07,15,09,0.30,,,,
2011,03,07,15,10,0.29,,,,
2011,03,07,15,11,0.32,,,,
2011,03,07,15,12,0.30,0.31,0.32,,
2011,03,07,15,13,0.31,,,,
2011,03,07,15,14,0.32,,,,
2011,03,07,15,15,0.30,,,,
2011,03,07,15,16,0.33,,,,
2011,03,07,15,17,0.32,,,,
2011,03,07,15,18,0.31,0.33,0.33,,
2011,03,07,15,19,0.34,,,,
2011,03,07,15,20,0.33,,,,
2011,03,07,15,21,0.34,,,,
2011,03,07,15,22,0.34,,,,
2011,03,07,15,23,0.34,,,,
2011,03,07,15,24,0.36,0.35,0.36,,
2011,03,07,15,25,0.35,,,,
2011,03,07,15,26,0.36,,,,
2011,03,07,15,27,0.36,,,,
2011,03,07,15,28,0.36,,,,
2011,03,07,15,29,0.37,,,,
2011,03,07,15,30,0.37,0.37,0.37,,
2011,03,07,15,31,0.38,,,,
2011,03,07,15,32,0.36,,,,
2011,03,07,15,33,0.36,,,,
2011,03,07,15,34,0.37,,,,
2011,03,07,15,35,0.37,,,,
2011,03,07,15,36,0.36,0.37,0.37,,
2011,03,07,15,37,0.36,,,,
2011,03,07,15,38,0.37,,,,
2011,03,07,15,39,0.37,,,,
2011,03,07,15,40,0.38,,,,
2011,03,07,15,41,0.38,,,,
2011,03,07,15,42,0.37,0.37,0.39,,
2011,03,07,15,43,0.38,,,,
2011,03,07,15,44,0.37,,,,
2011,03,07,15,45,0.38,,,,
2011,03,07,15,46,0.38,,,,
2011,03,07,15,47,0.38,,,,
2011,03,07,15,48,0.39,0.38,0.39,,
2011,03,07,15,49,0.38,,,,
2011,03,07,15,50,0.38,,,,
2011,03,07,15,51,0.40,,,,
2011,03,07,15,52,0.38,,,,
2011,03,07,15,53,0.39,,,,
2011,03,07,15,54,0.41,0.40,0.41,,
2011,03,07,15,55,0.28,,,,
2011,03,07,15,56,0.27,,,,
2011,03,07,15,57,0.27,,,,
2011,03,07,15,58,0.28,,,,
