RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/05/12 09:40:07
Logger time   00/01/01 00:01:03
Logging start 11/03/10 10:26:30
Logging end   11/05/05 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  56115, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pescadero - downstream - march 10 to about May 5 (retrieved may 11).  third from bottom probably
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
   0.4452   11.3259   -0.4331    0.6250 
   0.4550   11.2818   -0.4331    0.6250 
   0.4567   11.2835   -0.4331    0.6250 
   0.4531   11.2923   -0.4331    0.6250 
   0.4421   11.3098   -0.4331    0.6250 
   0.4408   11.3272   -0.4331    0.6250 
   0.4463   11.3137   -0.4331    0.6250 
   0.4462   11.3361   -0.4331    0.6250 
   0.4497   11.3352   -0.4331    0.6250 
   0.4465   11.3198   -0.4331    0.6250 
   0.4564   11.3309   -0.4331    0.6250 
   0.4456   11.3345   -0.4331    0.6250 
   0.4529   11.3264   -0.4331    0.6250 
   0.4372   11.3464   -0.4331    0.6250 
   0.4392   11.3653   -0.4331    0.6250 
   0.4412   11.3795   -0.4331    0.6250 
   0.4388   11.3746   -0.4331    0.6250 
   0.4426   11.3767   -0.4331    0.6250 
   0.4437   11.3730   -0.4331    0.6250 
   0.4342   11.3748   -0.4331    0.6250 
   0.4407   11.3824   -0.4331    0.6250 
   0.4429   11.3881   -0.4331    0.6250 
   0.4391   11.3662   -0.4331    0.6250 
   0.4390   11.4089   -0.4331    0.6250 
   0.4414   11.4052   -0.4331    0.6250 
   0.4361   11.4200   -0.4331    0.6250 
   0.4372   11.3874   -0.4331    0.6250 
   0.4355   11.4101   -0.4331    0.6250 
   0.4350   11.4296   -0.4331    0.6250 
   0.4444   11.4395   -0.4331    0.6250 
   0.4431   11.4471   -0.4331    0.6250 
   0.4388   11.4402   -0.4331    0.6250 
   0.4437   11.4265   -0.4331    0.6250 
   0.4334   11.4429   -0.4331    0.6250 
   0.4419   11.4392   -0.4331    0.6250 
   0.4408   11.4282   -0.4331    0.6250 
   0.4383   11.4367   -0.4331    0.6250 
   0.4337   11.4395   -0.4331    0.6250 
   0.4355   11.4470   -0.4331    0.6250 
   0.4335   11.4550   -0.4331    0.6250 
   0.4350   11.4587   -0.4331    0.6250 
   0.4314   11.4629   -0.4331    0.6250 
   0.4305   11.4354   -0.4331    0.6250 
   0.4299   11.4632   -0.4331    0.6250 
   0.4307   11.4387   -0.4331    0.6250 
   0.4335   11.4549   -0.4331    0.6250 
   0.4253   11.4634   -0.4331    0.6250 
   0.4318   11.4630   -0.4331    0.6250 
   0.4282   11.4646   -0.4331    0.6250 
   0.4367   11.4333   -0.4331    0.6250 
   0.4326   11.4395   -0.4331    0.6250 
   0.4270   11.4509   -0.4331    0.6250 
   0.4315   11.4492   -0.4331    0.6250 
   0.4427   11.4812   -0.4331    0.6250 
   0.4380   11.4939   -0.4331    0.6250 
   0.4352   11.4920   -0.4331    0.6250 
   0.4329   11.4649   -0.4331    0.6250 
   0.4312   11.4555   -0.4331    0.6250 
   0.4428   11.4410   -0.4331    0.6250 
   0.4279   11.4497   -0.4331    0.6250 
   0.4279   11.4561   -0.4331    0.6250 
   0.4253   11.4768   -0.4331    0.6250 
   0.4179   11.4653   -0.4331    0.6250 
   0.4298   11.4833   -0.4331    0.6250 
   0.4317   11.4846   -0.4331    0.6250 
   0.4277   11.4948   -0.4331    0.6250 
   0.4247   11.4793   -0.4331    0.6250 
   0.4305   11.5113   -0.4331    0.6250 
   0.4265   11.4992   -0.4331    0.6250 
   0.4336   11.4981   -0.4331    0.6250 
   0.4274   11.4973   -0.4331    0.6250 
   0.4370   11.4988   -0.4331    0.6250 
   0.4358   11.5043   -0.4331    0.6250 
   0.4324   11.5152   -0.4331    0.6250 
   0.4394   11.5271   -0.4331    0.6250 
   0.4222   11.5040   -0.4331    0.6250 
   0.4302   11.5067   -0.4331    0.6250 
   0.4300   11.5022   -0.4331    0.6250 
   0.4330   11.5249   -0.4331    0.6250 
   0.4273   11.5286   -0.4331    0.6250 
   0.4239   11.5275   -0.4331    0.6250 
   0.4226   11.5419   -0.4331    0.6250 
   0.4336   11.5557   -0.4331    0.6250 
   0.4355   11.5671   -0.4331    0.6250 
